,acc_phone_accelerometerAccelerationX(G),acc_phone_accelerometerAccelerationY(G),acc_phone_accelerometerAccelerationZ(G),gyr_phone_gyroRotationX(rad/s),gyr_phone_gyroRotationY(rad/s),gyr_phone_gyroRotationZ(rad/s),mag_phone_motionMagneticFieldX,mag_phone_motionMagneticFieldY,mag_phone_motionMagneticFieldZ,press_phone_altimeterPressure(kPa)
2017-06-07 09:18:22.351,-0.011417388999999998,-0.00031280499999999998,-0.9909706117499999,-0.010937869,-0.00400279775,0.00377982425,3.3703308105,15.6117477425,-35.8400268525,100.5489
2017-06-07 09:18:22.601,-0.011480712999999998,4.272439999999998e-05,-0.99111328139999999,-0.0121668644,-0.0049080462,0.0036779852,3.4828125,15.694921876,-35.966967774,100.5489
2017-06-07 09:18:22.851,-0.011779785250000001,-0.00091552724999999994,-0.99132919325000002,-0.0109346065,-0.00480274475,0.0048446895,3.50159454325,15.612457275,-35.82158661,100.5489
2017-06-07 09:18:23.101,-0.01145935075,-0.0013542175,-0.99090576200000002,-0.01040370525,-0.00373641475,0.00377756075,3.52029418925,15.5563354475,-35.8784408575,100.5489
2017-06-07 09:18:23.351,-0.01135253925,0.00027084324999999997,-0.99064254775000005,-0.01120505025,-0.0045351635,0.00378035725,3.53911590575,15.537605285,-35.70994568,100.5489
2017-06-07 09:18:23.601,-0.011541747999999999,-0.00062255159999999993,-0.99007568379999999,-0.0106705408,-0.004268941,0.0038847,3.5276977538,15.410144042,-35.90993042,100.5494
2017-06-07 09:18:23.851,-0.0117263795,-0.00050354600000000001,-0.99049377449999998,-0.01147476225,-0.00480021475,0.0029817415,3.52027130125,15.4625473025,-35.8043823225,100.5494
2017-06-07 09:18:24.101,-0.011363983249999999,-0.00061417199999999996,-0.98950576800000001,-0.00986927575,-0.0024055655,0.00377689525,3.5390319825,15.5189170825,-35.84136963,100.5494
2017-06-07 09:18:24.351,-0.0116882325,-0.00070571899999999994,-0.99114227300000013,-0.01067068725,-0.00347043175,0.003779292,3.576652527,15.70660782,-35.802070615,100.549475
2017-06-07 09:18:24.601,-0.012004852500000001,-0.00046920774999999995,-0.99134063699999997,-0.01067161925,-0.0037361485,0.0035123765,3.52028656,15.4062652575,-35.7299423225,100.5497
2017-06-07 09:18:24.851,-0.011932373000000001,-0.00092468260000000001,-0.99115905780000002,-0.0113128418,-0.0042686214,0.0034614702,3.5128479002,15.514974976,-35.728833008,100.5497
2017-06-07 09:18:25.101,-0.010536193750000001,-0.00052261350000000007,-0.99116134624999996,-0.01066895625,-0.0034712305,0.00431232375,3.46406555175,15.5559806825,-35.80330658,100.5497
2017-06-07 09:18:25.351,-0.01211929325,-0.00065994250000000012,-0.98897171025000008,-0.010671153,-0.00533324625,0.0037764955,3.4266586305,15.6870231625,-35.78314209,100.54975
2017-06-07 09:18:25.601,-0.0119438175,0.00041961675000000003,-0.99148941049999995,-0.01067102,-0.0048010135,0.0037772945,3.46406555175,15.537239075,-35.8034820575,100.5498
2017-06-07 09:18:25.851,-0.010951996,-0.00086593650000000005,-0.99092102049999997,-0.0109380685,-0.00480114675,0.00377862625,3.55776977525,15.3314437875,-35.6745452875,100.5498
2017-06-07 09:18:26.101,-0.011581420749999998,8.0108499999999967e-05,-0.99068069475000009,-0.01093560525,-0.005334578,0.0045773745,3.651451111,15.3132781975,-35.8249588025,100.5498
2017-06-07 09:18:26.351,-0.010940551600000001,0.00010681139999999998,-0.9903045654,-0.0104541322,-0.0042701124,0.0047364852,3.752734375,15.15621643,-35.598028564,100.54998
2017-06-07 09:18:26.601,-0.01216506975,-0.00050735475000000005,-0.99091720599999999,-0.0098714725,-0.00426758225,0.003241067,3.632736206,15.275608065,-35.6940307625,100.5501
2017-06-07 09:18:26.851,-0.0116882325,-0.00047683725000000001,-0.99038696300000006,-0.010668357,-0.00453609575,0.00457724175,3.6141052245,15.256629945,-35.4316864025,100.5501
2017-06-07 09:18:27.101,-0.011776733399999999,-0.00070190420000000001,-0.98945617680000009,-0.0115272798,-0.0046941944,0.0032486836,3.6177978518,15.23045349,-35.551947022,100.5501
2017-06-07 09:18:27.351,-0.011573791500000001,0.00025939949999999995,-0.98982620225000006,-0.011202454,-0.004536362,0.00457990475,3.463973999,14.99330902,-35.4526824975,100.5505
2017-06-07 09:18:27.601,-0.012039184499999999,-1.9073750000000024e-05,-0.98987960799999997,-0.011204052,-0.00400333025,0.00404767175,3.63285827625,15.1254119875,-35.3017959625,100.5505
2017-06-07 09:18:27.851,-0.0112075805,-0.00092697150000000002,-0.99008560174999993,-0.0112050505,-0.0045351635,0.003780357,3.632713318,14.95671463,-35.41596222,100.5505
2017-06-07 09:18:28.101,-0.011020660250000001,-0.0013160705000000001,-0.99028778075000001,-0.01093886775,-0.00453463075,0.00351250975,3.65153503425,14.99427414,-35.3218917825,100.550625
2017-06-07 09:18:28.351,-0.0097961424999999987,-0.0021781922500000001,-0.99098968499999995,-0.01120491725,-0.00400293075,0.003781156,3.6702041625,14.84439087,-35.34220123,100.551
